0,1,2,3,4,5
Date,"App
Version",Crash,"Crash per 1000
devices","ANR
","ANR per 1000
devices"
"Jul 16, 2020",v2.2.2,"2,685",7.69,152,0.44
"Jul 17, 2020",v2.2.2,"2,982",8.44,167,0.47
"Jul 18, 2020",v2.2.2,"3,786",10.61,195,0.55
"Jul 19, 2020",v2.2.2,"3,057",8.51,153,0.43
"Jul 20, 2020",v2.2.2,"3,071",8.45,156,0.43
"Jul 21, 2020",v2.2.2,"3,080",8.39,205,0.56
"Jul 22, 2020",v2.2.2,"3,224",8.71,166,0.45
"Jul 23, 2020",v2.2.2,"3,144",8.43,160,0.43
"Jul 24, 2020",v2.2.2,"3,685",9.63,181,0.47
"Jul 25, 2020",v2.2.2,"3,639",9.40,177,0.46
"Jul 26, 2020",v2.2.2,"3,129",8.03,200,0.51
"Jul 27, 2020",v2.2.2,"3,319",8.42,158,0.40
"Jul 28, 2020",v2.2.2,"3,697",9.26,183,0.46
"Jul 29, 2020",v2.2.2,"3,654",9.08,165,0.41
"Jul 30, 2020",v2.2.2,"3,170",7.80,178,0.44
"Jul 31, 2020",v2.2.2,"2,774",6.78,196,0.48
"Aug 1, 2020",v2.2.2,"3,389",8.25,189,0.46
"Aug 2, 2020",v2.2.2,"3,211",7.77,183,0.44
"Aug 3, 2020",v2.2.2,"3,118",7.49,162,0.39
"Aug 4, 2020",v2.2.2,"3,073",7.33,207,0.49
"Aug 5, 2020",v2.2.2,"3,349",7.88,184,0.43
"Aug 6, 2020",v2.2.2,"3,476",8.07,219,0.51
"Aug 7, 2020",v2.2.2,"3,281",7.53,202,0.46
"Aug 8, 2020",v2.2.2,"4,373",9.91,208,0.47
"Aug 9, 2020",v2.2.2,"4,444",9.95,196,0.44
"Aug 10, 2020",v2.2.2,"3,263",7.24,190,0.42
"Aug 11, 2020",v2.2.2,"3,302",7.25,178,0.39
"Aug 12, 2020",v2.2.2,"3,700",8.01,236,0.51
"Aug 13, 2020",v2.2.2,"3,793",8.08,235,0.50
"Aug 14, 2020",v2.2.2,"3,895",8.16,266,0.56
"Aug 15, 2020",v2.2.2,"3,641",7.57,234,0.49
"Aug 16, 2020",v2.2.2,"3,197",6.61,221,0.46
"Aug 17, 2020",v2.2.2,"3,681",7.56,213,0.44
"Aug 18, 2020",v2.2.2,"4,405",8.96,242,0.49
"Aug 19, 2020",v2.2.2,"3,803",7.68,220,0.45
"Aug 20, 2020",v2.2.2,"2,995",6.06,205,0.42
"Aug 21, 2020",v2.2.2,"3,286",6.63,208,0.42
"Aug 22, 2020",v2.2.2,"3,291",6.62,218,0.44
"Aug 23, 2020",v2.2.2,"3,555",7.11,195,0.39
"Aug 24, 2020",v2.2.2,"4,290",8.49,202,0.40
"Aug 25, 2020",v2.2.2,"4,846",9.47,240,0.47
"Aug 26, 2020",v2.2.2,"5,349",10.35,246,0.48
"Aug 27, 2020",v2.2.2,"5,071",9.74,211,0.41
"Aug 28, 2020",v2.2.2,"4,585",8.75,213,0.41
"Aug 29, 2020",v2.2.2,"5,101",9.65,230,0.44
"Aug 30, 2020",v2.2.2,"4,340",8.18,210,0.40
"Aug 31, 2020",v2.2.2,"3,689",6.96,212,0.40
"Sep 1, 2020",v2.2.2,"3,822",7.23,188,0.36
"Sep 2, 2020",v2.2.2,"3,670",6.97,198,0.38
"Sep 3, 2020",v2.2.2,"3,765",7.18,223,0.43
"Sep 4, 2020",v2.2.2,"3,571",6.82,184,0.35
"Sep 5, 2020",v2.2.2,"3,342",6.40,198,0.38
"Sep 6, 2020",v2.2.2,"3,560",6.83,205,0.39
"Sep 7, 2020",v2.2.2,"3,247",6.23,193,0.37
